file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_sorting\radix_sort.java,chapter_sorting.radix_sort,class,2,3,1,2,11,1,0,5,6,0.0,0.0,0.0,4,4,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,5,36,1,6,0,0,1,1,22,18,6,13,2,0,0,0,18,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_hashing\hash_map_chaining.java,chapter_hashing.HashMapChaining,class,2,4,2,2,21,1,0,10,0,0.525,0.78571427,1.0,8,0,1,0,0,7,8,0,0,0,5,0,0,0,0,5,0,0,0,83,5,9,3,0,0,1,8,20,4,16,2,0,0,0,27,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\deque.java,chapter_stack_and_queue.deque,class,0,0,0,0,1,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11,5,7,9,7,0,0,0,0,10,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_backtracking\preorder_traversal_ii_compact.java,chapter_backtracking.preorder_traversal_ii_compact,class,3,4,1,3,6,1,0,11,0,0.0,1.0,1.0,2,2,1,0,0,1,2,0,0,0,2,2,0,0,0,2,0,0,6,32,1,2,2,0,0,2,9,4,1,4,2,0,0,0,16,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_hashing\hash_map.java,chapter_hashing.hash_map,class,1,1,0,1,4,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,29,0,3,0,0,0,12,7,2,2,2,1,0,0,0,9,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_tree\binary_tree_dfs.java,chapter_tree.binary_tree_dfs,class,3,4,1,3,7,1,0,9,0,0.0,1.0,1.0,4,4,1,0,0,3,4,0,0,0,1,1,0,0,0,1,0,0,12,35,3,0,3,0,0,4,7,2,3,2,1,0,0,0,14,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\linkedlist_deque.java,chapter_stack_and_queue.ListNode,class,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_sorting\bucket_sort.java,chapter_sorting.bucket_sort,class,2,3,1,2,7,1,0,7,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,27,0,5,0,0,1,1,13,7,3,6,2,0,0,0,10,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\stack.java,chapter_stack_and_queue.stack,class,0,0,0,0,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,5,5,5,5,0,0,0,0,8,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\utils\ListNode.java,utils.ListNode,class,2,9,7,2,3,1,0,0,0,0.25,1.0,1.0,2,1,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,16,1,1,0,0,0,0,1,5,0,4,1,0,0,0,10,1,0
