arquivo,loc,comentarios,cbo,dit,lcom
radix_sort.java,36,21,2,1,6
hash_map_chaining.java,83,30,2,1,0
deque.java,25,11,0,1,0
preorder_traversal_ii_compact.java,32,10,3,1,0
hash_map.java,29,13,1,1,0
binary_tree_dfs.java,35,17,3,1,0
linkedlist_deque.java,9,33,1,1,0
bucket_sort.java,27,14,2,1,1
stack.java,19,11,0,1,0
ListNode.java,16,7,2,1,0
avl_tree.java,31,56,4,1,3
array_queue.java,25,25,1,1,0
array_hash_map.java,54,25,2,1,0
binary_search_edge.java,27,16,3,1,3
hanota.java,33,16,1,1,6
array_stack.java,26,19,1,1,0
graph_adjacency_list.java,22,28,3,1,0
linkedlist_deque.java,25,33,1,1,0
subset_sum_ii.java,34,17,2,1,3
hash_map_open_addressing.java,87,40,2,1,0
selection_sort.java,19,9,2,1,1
preorder_traversal_iii_compact.java,32,11,3,1,0
quick_sort.java,13,35,4,1,0
array_queue.java,44,25,2,1,0
linkedlist_deque.java,81,33,3,1,36
coin_change_ii.java,44,18,2,1,3
preorder_traversal_i_compact.java,26,8,3,1,0
hash_map_chaining.java,17,30,1,1,0
permutations_ii.java,31,13,3,1,3
graph_dfs.java,26,14,4,1,3
array_binary_tree.java,28,28,3,1,0
space_complexity.java,67,27,5,1,28
heap.java,36,15,2,1,3
quick_sort.java,23,35,2,1,3
subset_sum_i.java,31,15,2,1,3
climbing_stairs_dp.java,29,10,2,1,3
top_k.java,22,10,3,1,1
edit_distance.java,82,36,2,1,10
climbing_stairs_backtrack.java,22,12,1,1,3
array_deque.java,66,35,2,1,0
list.java,35,17,0,1,0
coin_change_greedy.java,33,14,2,1,1
linkedlist_stack.java,38,18,3,1,0
insertion_sort.java,17,8,2,1,1
linear_search.java,24,15,3,1,3
graph_adjacency_list.java,43,28,2,1,0
binary_search_insertion.java,48,13,2,1,3
Vertex.java,20,8,2,1,1
unbounded_knapsack.java,41,17,2,1,3
array_stack.java,19,19,1,1,0
PrintUtil.java,8,16,1,1,0
PrintUtil.java,73,16,7,1,28
array_hash_map.java,8,25,0,1,0
built_in_hash.java,22,5,1,1,0
quick_sort.java,30,35,2,1,3
n_queens.java,51,15,2,1,3
max_capacity.java,22,12,2,1,1
binary_tree_bfs.java,21,11,3,1,1
avl_tree.java,100,56,2,1,49
linkedlist_queue.java,45,22,3,1,0
my_heap.java,69,43,2,1,6
binary_search.java,30,15,2,1,3
linkedlist_queue.java,19,22,1,1,0
TreeNode.java,35,26,1,1,6
merge_sort.java,31,17,2,1,3
array_deque.java,25,35,1,1,0
my_list.java,23,37,1,1,0
my_heap.java,20,43,1,1,0
hash_map_open_addressing.java,17,40,1,1,0
recursion.java,39,24,1,1,10
iteration.java,49,16,1,1,10
simple_hash.java,45,9,1,1,10
time_complexity.java,113,26,2,1,66
climbing_stairs_dfs_mem.java,19,12,2,1,3
quick_sort.java,31,35,2,1,6
array.java,57,29,2,1,21
graph_bfs.java,29,15,4,1,1
my_list.java,58,37,2,1,0
queue.java,19,11,0,1,0
hashing_search.java,26,15,3,1,3
graph_adjacency_matrix.java,53,36,3,1,0
graph_adjacency_matrix.java,21,36,2,1,0
binary_tree.java,23,11,2,1,0
permutations_i.java,29,13,3,1,3
climbing_stairs_dfs.java,15,9,1,1,3
array_hash_map.java,29,25,1,1,0
two_sum.java,30,14,2,1,3
binary_search_recur.java,27,14,2,1,3
min_cost_climbing_stairs_dp.java,32,10,2,1,3
array_binary_tree.java,52,28,1,1,49
knapsack.java,73,30,2,1,10
counting_sort.java,49,21,2,1,3
max_product_cutting.java,21,12,1,1,1
climbing_stairs_constraint_dp.java,22,9,2,1,1
fractional_knapsack.java,8,14,0,1,0
worst_best_time_complexity.java,29,13,2,1,3
fractional_knapsack.java,28,14,3,1,1
preorder_traversal_iii_template.java,44,19,3,1,21
build_tree.java,27,14,4,1,3
linkedlist_stack.java,19,18,1,1,0
binary_search_tree.java,25,42,4,1,0
coin_change.java,47,18,2,1,3
subset_sum_i_naive.java,31,13,2,1,3
heap_sort.java,32,15,2,1,3
linked_list.java,52,18,3,1,10
binary_search_tree.java,63,42,2,1,0
min_path_sum.java,76,31,2,1,10
bubble_sort.java,35,13,2,1,3
