repositorio,loc_total,comentarios_total,cbo_total,dit_total,lcom_total,arquivos_java,loc_media_por_arquivo,comentarios_media_por_arquivo
aws-sdk-java,8601503,15050813,1189876,204994,20962197,170079,50.57,88.49
hive,2005252,53924230,140402,28763,1916110,20347,98.55,2650.23
java,1973776,191354616,80319,18500,2207697,11515,171.41,16617.86
camel,1856132,6754848,200735,67999,3306316,41485,44.74,162.83
Telegram,1606325,1163324,91502,22206,871158,13383,120.03,86.93
OpenSearch,1267700,1156337,140300,32672,723748,18824,67.34,61.43
ignite,1131032,2925332,118543,34851,10414357,21069,53.68,138.85
hazelcast,1103044,572908,133057,29483,752524,16787,65.71,34.13
lwjgl3,1086686,881748,67150,23597,9638418,9930,109.43,88.8
hibernate-orm,1067808,559685,173212,35706,1941080,25501,41.87,21.95
hbase,945632,7223161,94138,17248,799476,11522,82.07,626.9
pentaho-kettle,780806,718269,67177,14287,922984,11189,69.78,64.19
geoserver,764130,706307,88664,22305,538588,12254,62.36,57.64
druid,764049,604060,116988,20489,924629,14887,51.32,40.58
iotdb,754449,277142,71269,13938,915753,8663,87.09,31.99
spring-framework,751483,1345686,95726,27018,541076,18303,41.06,73.52
cassandra,742989,699209,86251,22354,747368,12631,58.82,55.36
starrocks,731129,400001,69151,14031,1283982,9434,77.5,42.4
beam,726838,1392808,120198,24870,317800,16210,44.84,85.92
jetty.project,719718,2247800,83377,24448,379386,14962,48.1,150.23
OsmAnd,683803,6262922,52750,9740,641741,6037,113.27,1037.42
kafka,674137,539723,65926,12160,533917,8468,79.61,63.74
automq,669107,581765,66412,12941,419086,9237,72.44,62.98
camunda,612278,324850,106781,20597,424775,14801,41.37,21.95
vespa,597335,215457,69192,18524,434203,11452,52.16,18.81
bazel,587214,784280,80251,17285,723186,10651,55.13,73.63
deeplearning4j,558237,8240803,47828,12414,310658498,5669,98.47,1453.66
CoreNLP,557599,7033536,25497,7103,639631,4305,129.52,1633.81
pinot,555664,348252,51459,10338,369305,7036,78.97,49.5
camunda-bpm-platform,543235,348114,67069,17607,922371,10681,50.86,32.59
tutorials,526471,73055,97974,26469,142187,23808,22.11,3.07
flowable-engine,521017,226926,59234,14927,1365226,8966,58.11,25.31
pulsar,520836,417380,50878,12633,631454,7400,70.38,56.4
keycloak,511612,265894,59312,13286,635057,8649,59.15,30.74
runelite,476559,698391,13714,4635,97992,3794,125.61,184.08
Alink,475597,626356,52667,13307,283903,8181,58.13,76.56
orientdb,449938,104045,32706,8125,1562075,5049,89.11,20.61
crate,437873,347448,57226,12411,366616,7559,57.93,45.96
esProc,426806,232598,17706,5752,259004,2650,161.06,87.77
Telegram-X,420517,181232,27319,4105,1570675,2885,145.76,62.82
sonarqube,412322,210062,62007,10129,229133,8617,47.85,24.38
fastjson2,412151,118992,25081,11244,2695290,9485,43.45,12.55
helidon,405108,511678,54861,14065,269360,9780,41.42,52.32
netty,381421,441951,34951,11940,529130,7906,48.24,55.9
RxJava,370515,389955,29959,15649,563239,11867,31.22,32.86
kubernetes-client,369320,217202,170603,8680,659938,7777,47.49,27.93
calcite,367195,985308,43258,9623,2168384,5648,65.01,174.45
storm,359172,2156517,23353,5339,214217,4388,81.85,491.46
tomcat,355602,1102363,21067,8442,839099,4664,76.24,236.36
jpexs-decompiler,345818,454408,23817,7801,233730,4056,85.26,112.03
druid,339640,86261,29599,11290,1344628,5814,58.42,14.84
--,338075,10079802,17954,14755,2232521,5069,66.69,1988.52
onedev,329808,94279,47924,11582,213538,8210,40.17,11.48
metersphere,322032,61443,24735,4808,1651953,3704,86.94,16.59
kylin,317849,120804,37153,7143,655714,4765,66.7,25.35
iceberg,313277,155048,39019,7619,164931,4543,68.96,34.13
